                  QSO_name     ion       Glon       Glat      v_LSR     logN   hvcflag_1   hvcflag_2   hvcflag_3   hvcflag_4  
                  B0120-28    AlII   227.7754   -82.9332    -27.912   14.117           0           0           0           0  
                  B0120-28    CII*   227.7754   -82.9332    -87.871   12.849           1           0           0           0  
                  B0120-28    CII*   227.7754   -82.9332     53.032   12.953           1           0           0           0  
                  B0120-28    CII*   227.7754   -82.9332    -21.917   13.858           0           0           0           0  
                  B0120-28     CIV   227.7754   -82.9332   -105.858   12.734           1           0           0           0  
                  B0120-28     CIV   227.7754   -82.9332     74.017   12.933           1           0           0           0  
                  B0120-28     CIV   227.7754   -82.9332     59.027   13.207           1           0           0           0  
                  B0120-28     CIV   227.7754   -82.9332     32.046   13.432           0           0           0           0  
                  B0120-28     CIV   227.7754   -82.9332     -60.89   13.685           1           0           0           0  
                  B0120-28     CIV   227.7754   -82.9332    -36.906   13.697           0           0           0           0  
                  B0120-28     CIV   227.7754   -82.9332     20.054   13.928           0           0           0           0  
                  B0120-28     CIV   227.7754   -82.9332    -84.873    14.41           1           0           0           0  
                  B0120-28    FeII   227.7754   -82.9332    -36.906   15.568           0           0           0           0  
                  B0120-28    FeII   227.7754   -82.9332    -15.921   15.595           0           0           0           0  
                  B0120-28    FeII   227.7754   -82.9332     77.015   15.672           1           0           0           0  
                  B0120-28    FeII   227.7754   -82.9332      2.067   15.966           0           0           0           0  
                  B0120-28    NiII   227.7754   -82.9332     -6.927   13.754           0           0           0           0  
                  B0120-28    SiIV   227.7754   -82.9332    -75.879   12.002           1           0           0           0  
                  B0120-28    SiIV   227.7754   -82.9332    -93.867   12.275           1           0           0           0  
                  B0120-28    SiIV   227.7754   -82.9332      -45.9   12.594           0           0           0           0  
                  B0120-28    SiIV   227.7754   -82.9332     -30.91   13.013           0           0           0           0  
                  B0120-28    SiIV   227.7754   -82.9332     -3.929    13.09           0           0           0           0  
                  B0120-28    SiIV   227.7754   -82.9332     29.048   13.135           0           0           0           0  
                CAL-F-COPY     CIV   277.1769   -35.4212      50.13   13.191           0           0           0           0  
                CAL-F-COPY     CIV   277.1769   -35.4212    128.076   13.308           1           1           0           0  
                CAL-F-COPY     CIV   277.1769   -35.4212    -15.824   13.706           0           0           0           0  
                CAL-F-COPY     CIV   277.1769   -35.4212     11.157   14.029           0           0           0           0  
                CAL-F-COPY    FeII   277.1769   -35.4212    -15.824    9.765           0           0           0           0  
                CAL-F-COPY    FeII   277.1769   -35.4212     41.136   10.638           0           0           0           0  
                CAL-F-COPY    FeII   277.1769   -35.4212    -42.806   10.941           0           0           0           0  
                CAL-F-COPY    NiII   277.1769   -35.4212     -0.835   13.614           0           0           0           0  
                CAL-F-COPY     SII   277.1769   -35.4212      50.13   14.283           0           0           0           0  
                CAL-F-COPY     SII   277.1769   -35.4212     -21.82   14.588           0           0           0           0  
                CAL-F-COPY     SII   277.1769   -35.4212      2.163   17.905           0           0           0           0  
                CAL-F-COPY    SiIV   277.1769   -35.4212     -21.82   13.052           0           0           0           0  
                CAL-F-COPY    SiIV   277.1769   -35.4212     29.145   13.225           0           0           0           0  
                  CSO-0873     CIV    37.6436    83.6604    -89.309   12.545           1           0           0           0  
                  CSO-0873     CIV    37.6436    83.6604    -23.354   14.239           0           0           0           0  
